obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""251.130""","=""251.12820""","=""0.00004""","=""100""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""5.9924568""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""252.928""","=""252.92690""","=""0.00005""","=""2000r""","=""1.77e+08""","=""1.13e-01""","=""5.65e+00""","=""-0.168""",,"=""1.2217425""","=""6.1237200""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",6,4,,"=""T3880""","=""L7406""",
"=""257.483""","=""257.48241""","=""0.00005""","=""150""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""6.8480146""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(1D).6s""","=""2D""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""259.883""","=""259.88247""","=""0.00005""","=""1500r""","=""2.10e+07""","=""1.06e-02""","=""3.64e-01""","=""-1.371""",,"=""1.0553690""","=""5.8261487""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
"=""259.887""","=""259.88603""","=""0.00005""","=""500r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""5.9924568""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6s""","=""4P""","=""5/2""",6,6,,"=""""","=""L7406""",
"=""261.309""","=""261.30838""","=""0.00005""","=""300r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.0340156""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""2P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""265.339""","=""265.33926""","=""0.00005""","=""200r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""6.9619362""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""267.143""","=""267.14243""","=""0.00005""","=""300r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""5.6964962""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""268.356""","=""268.35507""","=""0.00005""","=""200r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""6.9094241""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(1D).6s""","=""2D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""269.305""","=""269.30516""","=""0.00005""","=""120""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""6.6366207""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""4F""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""271.971""","=""271.97000""","=""0.00005""","=""150r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""6.8480146""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""277.077""","=""277.07492""","=""0.00005""","=""400r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""5.6964962""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",6,4,,"=""""","=""L7406""",
"=""285.193""","=""285.19479""","=""0.00006""","=""120""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""6.6366207""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""4F""","=""3/2""",4,4,,"=""""","=""L3304,L16370""",
"=""287.876""","=""287.87572""","=""0.00006""","=""1000r""","=""4.24e+07""","=""2.63e-02""","=""9.98e-01""","=""-0.977""",,"=""1.0553690""","=""5.3622344""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
"=""303.071""","=""303.06911""","=""0.00006""","=""500r""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""6.1237200""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""323.345""","=""323.34278""","=""0.00007""","=""600r""","=""3.07e+07""","=""4.81e-02""","=""2.05e+00""","=""-0.716""",,"=""2.2892693""","=""6.1237200""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
"=""326.845""","=""326.84333""","=""0.00008""","=""700r""","=""4.95e+07""","=""7.93e-02""","=""1.71e+00""","=""-0.800""",,"=""2.0327654""","=""5.8261487""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6s""","=""2P""","=""1/2""",2,2,,"=""T3880""","=""L7406""",
"=""338.412""","=""338.40969""","=""0.00008""","=""100""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""5.6964962""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""363.887""","=""363.88595""","=""0.00009""","=""250""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""5.6964962""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""372.385""","=""372.38431""","=""0.00010""","=""200r""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""5.3622344""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",2,2,,"=""""","=""L7406""",
"=""403.46764""","=""403.46764""","=""0.00012""","=""200""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""5.3622344""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""""","=""L10083""",
"=""475.914""","=""475.90799""","=""0.00016""","=""20""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""8.3017098""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""3/2""",4,4,,"=""""","=""L3304""",
"=""549.17506""","=""549.17506""","=""0.00021""","=""30w""","=""""","=""""","=""""","=""""",,"=""5.9924568""","=""8.2501012""","=""5p2.(3P).6s""","=""4P""","=""5/2""","=""5p2.(3P<2>).7p""","=""(2,1/2)*""","=""3/2""",6,4,,"=""""","=""L10083""",
"=""555.75541""","=""555.75538""","=""0.00022""","=""40w""","=""""","=""""","=""""","=""""",,"=""5.8261487""","=""8.0570618""","=""5p2.(3P).6s""","=""2P""","=""1/2""","=""5p2.(1D<2>).6p""","=""(2,1/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""560.36209""","=""560.36200""","=""0.00022""","=""30l""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""7.9090694""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<1>).7p""","=""(1,3/2)*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""563.34998""","=""563.34984""","=""0.00022""","=""100l""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""7.5630728""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<0>).7p""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""573.193""","=""573.18287""","=""0.00023""","=""60w""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""8.2868028""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""661.32055""","=""661.3207""","=""0.0003""","=""20""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""7.9985168""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(1D<2>).6p""","=""(2,1/2)*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""765.0363""","=""765.0363""","=""0.0004""","=""30w""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""7.7443516""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(3P<0>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""784.6509""","=""784.6509""","=""0.0004""","=""80""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""6.9423536""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""L10083""",
"=""792.6763""","=""792.6762""","=""0.0004""","=""200""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""6.9263559""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""797.174""","=""797.1831""","=""0.0004""","=""40w""","=""""","=""""","=""""","=""""",,"=""6.4070616""","=""7.9623405""","=""5p2.(3P<0>).6p""","=""(0,1/2)*""","=""1/2""","=""5p2.(3P).6d""","=""2P""","=""3/2""",2,4,,"=""""","=""L7406""",
