Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""",6,"=""""","=""66020.3051""","=""""","=""0.0015""","=""1.258""","=""  49  5s2.5p4.(3P<2>).5d 2[2]        :    29  5s2.5p4.(3P<2>).5d  2[3]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""",4,"=""""","=""66354.9277""","=""""","=""0.0014""","=""""","=""  55  5s2.5p4.(3P<2>).5d 2[2]        :    12  5s2.5p4.(3P<2>).5d  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""1/2""",2,"=""""","=""67298.1641""","=""""","=""0.0018""","=""""","=""  72                                 :    11  5s2.5p4.(1D<2>).5d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""",10,"=""""","=""67726.2533""","=""""","=""0.0021""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).5d  2[4]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""7/2""",8,"=""""","=""68559.3743""","=""""","=""0.0015""","=""""","=""  86                                 :    12  5s2.5p4.(1D<2>).5d  2[4]  ""","=""L3674,u56"""
"=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""3/2""",4,"=""""","=""68549.5824""","=""""","=""0.0013""","=""""","=""  59                                 :    23  5s2.5p4.(3P<2>).5d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""5/2""",6,"=""""","=""68587.6921""","=""""","=""0.0015""","=""""","=""  81                                 :     8  5s2.5p4.(3P<2>).6s  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[0]""","=""1/2""",2,"=""""","=""68615.5757""","=""""","=""0.0014""","=""""","=""  51                                 :    31  5s2.5p4.(1D<2>).5d  2[0]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""5/2""",6,"=""""","=""70151.0423""","=""""","=""0.0014""","=""""","=""  52  5s2.5p4.(3P<2>).5d 2[3]        :    27  5s2.5p4.(3P<2>).5d  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""",4,"=""""","=""70354.6730""","=""""","=""0.0013""","=""""","=""  46  5s2.5p4.(3P<2>).5d 2[1]        :    18  5s2.5p4.(3P<2>).5d  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<1>).6p""","=""2[0]*""","=""1/2""",2,"=""""","=""71501.3162""","=""""","=""0.0014""","=""1.239""","=""  65  5s2.5p4.(3P<0>).6p 2[1]*       :    20  5s2.5p4.(3P<1>).6p  2[0]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""1/2""",2,"=""""","=""71813.7975""","=""""","=""0.0015""","=""1.377""","=""  58  5s2.5p4.(3P<1>).6p 2[0]*       :    24  5s2.5p4.(3P<1>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",4,"=""""","=""71976.5916""","=""""","=""0.0016""","=""1.317""","=""  60                                 :    24  5s2.5p4.(3P<1>).6p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""5/2""",6,"=""""","=""71903.5759""","=""""","=""0.0016""","=""""","=""  86                                 :     9  5s2.5p4.(1D<2>).7s  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""3/2""",4,"=""""","=""72294.7216""","=""""","=""0.0013""","=""""","=""  86                                 :     9  5s2.5p4.(1D<2>).7s  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""5/2""",6,"=""""","=""72529.0200""","=""""","=""0.0013""","=""1.370""","=""  99                                                                    ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",4,"=""""","=""72807.0009""","=""""","=""0.0015""","=""1.316""","=""  62                                 :    21  5s2.5p4.(3P<0>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6p""","=""2[1]*""","=""3/2""",4,"=""""","=""73054.4376""","=""""","=""0.0015""","=""1.329""","=""  84                                 :    11  5s2.5p4.(3P<1>).6p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6p""","=""2[1]*""","=""1/2""",2,"=""""","=""73387.0136""","=""""","=""0.0015""","=""1.137""","=""  73                                 :    19  5s2.5p4.(3P<1>).6p  2[0]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""1/2""",2,"=""""","=""73114.655""","=""""","=""0.003""","=""""","=""  76                                 :     7  5s2.5p4.(1D<2>).5d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""3/2""",4,"=""""","=""74587.2507""","=""""","=""0.0019""","=""0.78""","=""  19                                 :    43  5s2.5p4.(3P<1>).5d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(1D<2>).5d""","=""2[0]""","=""1/2""",2,"=""""","=""73477.6678""","=""""","=""0.0020""","=""""","=""  24                                 :    33  5s2.5p4.(3P<2>).5d  2[0]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""3/2""",4,"=""""","=""73639.1366""","=""""","=""0.0019""","=""""","=""  48                                 :    22  5s2.5p4.(3P<1>).5d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""",6,"=""""","=""73795.1649""","=""""","=""0.0022""","=""""","=""  44                                 :    32  5s2.5p4.(3P<1>).5d  2[3]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""7/2""",8,"=""""","=""73977.5493""","=""""","=""0.0024""","=""1.21""","=""  81                                 :     8  5s2.5p4.(3P<2>).6d  2[3]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""5/2""",6,"=""""","=""75177.0740""","=""""","=""0.0019""","=""1.26""","=""  34  5s2.5p4.(3P<2>).6d 2[3]        :    40  5s2.5p4.(3P<1>).5d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""5/2""",6,"=""""","=""74965.4759""","=""""","=""0.0017""","=""1.472""","=""  80                                 :    11  5s2.5p4.(3P<2>).7p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""3/2""",4,"=""""","=""75049.3522""","=""""","=""0.0016""","=""1.506""","=""  49                                 :    38  5s2.5p4.(3P<2>).7p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""5/2""",6,"=""""","=""75191.1777""","=""""","=""0.0016""","=""1.24""","=""  79                                 :    10  5s2.5p4.(3P<2>).7p  2[2]* ""","=""L3674,L368,u56"""
