obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""242.571""","=""""","=""1400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""242.755""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""243.193""","=""""","=""380""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""243.235""","=""""","=""380""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""244.676""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.148""","=""""","=""900""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.247""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.464""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.720""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""246.216""","=""""","=""1800""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""247.303""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""247.553""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""247.759""","=""""","=""900""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""248.318""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""248.930""","=""""","=""4500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""249.177""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""249.244""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""249.317""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""249.916""","=""""","=""2600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""250.067""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""250.304""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""250.514""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""250.526""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""251.363""","=""""","=""660""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""251.401""","=""""","=""2400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""251.580""","=""""","=""660""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""251.868""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""251.920""","=""""","=""660""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""252.005""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""252.055""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""253.320""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""253.886""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""254.327""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""255.523""","=""""","=""310""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.726""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.765""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.960""","=""""","=""480""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""257.255""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""258.182""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""258.273""","=""""","=""740""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""259.153""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
