obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""""","=""""","=""678.589""","=""0.009""","=""""","=""6.39e+04""","=""4.41e-04""","=""1.97e-02""","=""-3.054""",C,"=""7.1646047""","=""8.991694""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",2,2,,"=""u27""","=""""",
"=""""","=""""","=""678.618""","=""0.009""","=""""","=""3.2e+04""","=""1.1e-04""","=""9.9e-03""","=""-3.35""",C,"=""7.1646833""","=""8.991694""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",4,2,,"=""u27""","=""""",
"=""""","=""""","=""682.13986""","=""0.00020""","=""""","=""2.2e+06""","=""2.0e-02""","=""2.7e+00""","=""-0.92""",D+,"=""5.9334881""","=""7.7510655""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""7/2""",6,8,,"=""u27""","=""""",
"=""""","=""""","=""682.13986""","=""0.00020""","=""""","=""1.4e+05""","=""9.7e-04""","=""1.3e-01""","=""-2.2""",D+,"=""5.9334881""","=""7.7510655""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""5/2""",6,6,,"=""u27""","=""""",
"=""""","=""""","=""682.15457""","=""0.00024""","=""""","=""2.0e+06""","=""2.1e-02""","=""1.9e+00""","=""-1.07""",D+,"=""5.9335273""","=""7.7510655""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.5f""","=""2F*""","=""5/2""",4,6,,"=""u27""","=""""",
"=""""","=""""","=""720.791""","=""0.008""","=""""","=""1.65e+05""","=""2.57e-03""","=""1.22e-01""","=""-2.29""",C,"=""6.0271033""","=""7.747215""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",2,4,,"=""T7192""","=""""",
"=""""","=""""","=""720.884""","=""0.008""","=""""","=""1.98e+05""","=""2.31e-03""","=""2.19e-01""","=""-2.035""",C,"=""6.0273243""","=""7.747215""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",4,6,,"=""T7192""","=""""",
"=""""","=""""","=""720.884""","=""0.008""","=""""","=""3.30e+04""","=""2.57e-04""","=""2.44e-02""","=""-2.988""",C,"=""6.0273243""","=""7.747215""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""3/2""",4,4,,"=""T7192""","=""""",
"=""""","=""""","=""720.965""","=""0.007""","=""""","=""8.60e+05""","=""6.70e-03""","=""3.18e-01""","=""-1.873""",C+,"=""6.0271033""","=""7.746801""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6s""","=""2S""","=""1/2""",2,2,,"=""u27""","=""""",
"=""""","=""""","=""721.058""","=""0.008""","=""""","=""1.72e+06""","=""6.71e-03""","=""6.37e-01""","=""-1.571""",C+,"=""6.0273243""","=""7.746801""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6s""","=""2S""","=""1/2""",4,2,,"=""u27""","=""""",
