obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""540.2101""","=""0.0005""","=""540.210+""","=""26""","=""3.6e+05""","=""1.86e-03""","=""4.0e-01""","=""-1.65""",B,"=""2.3375761""","=""4.632686""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""540.3733""","=""0.0005""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2006,L3475""",
"=""""","=""""","=""541.3947+""","=""""","=""1.9e+05""","=""8.2e-04""","=""1.5e-01""","=""-2.09""",D+,"=""2.6951295""","=""4.9852185""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""","=""4f12.(3F<3>).6s2.6p<3/2>""","=""(3,3/2)*""","=""9/2""",10,10,,"=""T6708""","=""""",
"=""541.5232""","=""0.0005""","=""541.523+""","=""260""","=""1.78e+06""","=""7.8e-03""","=""2.23e+00""","=""-0.902""",B+,"=""2.3176458""","=""4.607192""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""15/2""",16,16,,"=""T6708""","=""L2006""",
"=""542.3168""","=""0.0005""","=""542.3172+""","=""8""","=""1.5e+05""","=""7.7e-04""","=""1.4e-01""","=""-2.11""",C,"=""2.3355381""","=""4.6217314""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""542.8013""","=""0.0005""","=""542.8011+""","=""26""","=""3.4e+05""","=""1.49e-03""","=""3.2e-01""","=""-1.75""",C+,"=""2.3375761""","=""4.6217314""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""543.7156""","=""0.0005""","=""543.716+""","=""53""","=""6.2e+05""","=""3.2e-03""","=""7.9e-01""","=""-1.36""",B,"=""2.4135586""","=""4.693871""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)""","=""(6,7/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""544.2263""","=""0.0005""","=""544.226+""","=""16""","=""1.38e+05""","=""7.1e-04""","=""1.54e-01""","=""-2.07""",C+,"=""2.3545103""","=""4.632686""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""546.5663""","=""0.0005""","=""546.567+""","=""140""","=""""","=""""","=""""","=""""",,"=""2.7970218""","=""5.065440""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""11/2""","=""""","=""""","=""13/2""",12,14,,"=""""","=""L2006,L3475""",
"=""547.4600""","=""0.0005""","=""547.4602+""","=""58""","=""1.2e+06""","=""4.3e-03""","=""9.3e-01""","=""-1.29""",C,"=""2.8900691""","=""5.1547851""","=""4f12.(3F<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""549.2891""","=""0.0005""","=""549.2893+""","=""23""","=""6.2e+04""","=""2.79e-04""","=""6.1e-02""","=""-2.48""",B,"=""1.9326423""","=""4.1898171""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""549.7143""","=""0.0005""","=""549.7144+""","=""78""","=""5.5e+05""","=""2.14e-03""","=""5.4e-01""","=""-1.52""",B+,"=""2.4135586""","=""4.6689880""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""552.7095""","=""0.0005""","=""552.7100+""","=""29""","=""1.1e+06""","=""6.0e-03""","=""1.1e+00""","=""-1.22""",D+,"=""2.9485548""","=""5.1917601""","=""4f12.(3F<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""552.9879""","=""0.0005""","=""552.9884+""","=""240*""","=""""","=""""","=""""","=""""",,"=""2.7796965""","=""5.0217724""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""9/2""","=""""","=""""","=""11/2""",10,12,,"=""""","=""L2006,L3475""",
"=""552.9879""","=""0.0005""","=""""","=""240*""","=""""","=""""","=""""","=""""",,"=""3.0514127""","=""""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""5/2""","=""""","=""""","=""""",6,1,,"=""""","=""L2006,L3475""",
"=""555.0983""","=""0.0005""","=""555.0982+""","=""26""","=""2.7e+05""","=""1.6e-03""","=""2.3e-01""","=""-1.90""",C,"=""2.4491628""","=""4.6827173""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""556.7551""","=""0.0005""","=""556.7546+""","=""270""","=""1.38e+06""","=""7.7e-03""","=""1.41e+00""","=""-1.113""",B+,"=""1.6266243""","=""3.8535338""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""9/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<3/2>)""","=""(6,3/2)*""","=""11/2""",10,12,,"=""T6708""","=""L2006,L3475""",
"=""556.7665""","=""0.0005""","=""556.7665+""","=""130""","=""3.7e+05""","=""1.72e-03""","=""5.0e-01""","=""-1.56""",B+,"=""2.3176458""","=""4.5445074""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<3/2>)""","=""(6,3/2)*""","=""15/2""",16,16,,"=""T6708""","=""L2006""",
"=""558.2765""","=""0.0005""","=""558.2763+""","=""220""","=""""","=""""","=""""","=""""",,"=""3.0943318""","=""5.3151713""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""11/2""","=""""","=""""","=""13/2""",12,14,,"=""""","=""L2006,L3475""",
"=""558.2919""","=""0.0005""","=""558.292+""","=""220""","=""""","=""""","=""""","=""""",,"=""2.5301257""","=""4.750903""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""3/2""",6,4,,"=""""","=""L2006,L3475""",
"=""560.8200""","=""0.0005""","=""560.819+""","=""140""","=""""","=""""","=""""","=""""",,"=""2.5301257""","=""4.740894""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""3/2""",6,4,,"=""""","=""L2006,L3475""",
"=""561.4788""","=""0.0005""","=""561.4787+""","=""180""","=""8.3e+05""","=""3.4e-03""","=""8.7e-01""","=""-1.33""",C+,"=""2.4135586""","=""4.6217314""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""562.7019""","=""0.0005""","=""562.7017+""","=""14""","=""1.2e+06""","=""5.9e-03""","=""1.3e+00""","=""-1.15""",D+,"=""2.8900691""","=""5.0934425""","=""4f12.(3F<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""563.2969""","=""0.0005""","=""563.2967+""","=""2700""","=""1.09e+06""","=""3.90e-03""","=""5.8e-01""","=""-1.506""",B+,"=""0.0000000""","=""2.2010461""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""5/2""",8,6,,"=""T6708""","=""L2006,L3475""",
"=""563.6282""","=""0.0005""","=""563.6283+""","=""5""","=""2.6e+05""","=""1.46e-03""","=""2.7e-01""","=""-1.83""",C+,"=""2.6951295""","=""4.8948804""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[9/2]*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""564.417""","=""0.0015""","=""564.415+""","=""400""","=""1.02e+06""","=""3.25e-03""","=""3.62e-01""","=""-1.710""",B+,"=""1.0874955""","=""3.284180""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)""","=""3/2""",6,4,,"=""T6708""","=""L3475""",
"=""564.6967""","=""0.0005""","=""564.6967+""","=""270""","=""""","=""""","=""""","=""""",,"=""2.7796965""","=""4.9752855""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""9/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""11/2""",10,12,,"=""""","=""L2006,L3475""",
"=""565.2002""","=""0.0005""","=""565.200+""","=""120""","=""6.8e+05""","=""3.7e-03""","=""9.7e-01""","=""-1.28""",B+,"=""2.4135586""","=""4.607192""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""565.9868""","=""0.0005""","=""565.9871+""","=""700""","=""9.3e+05""","=""5.9e-03""","=""6.6e-01""","=""-1.45""",B+,"=""1.0874955""","=""3.2780791""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)""","=""7/2""",6,8,,"=""T6708""","=""L2006,L3475""",
"=""567.7410""","=""0.0005""","=""567.7412+""","=""5200""","=""1.30e+06""","=""7.9e-03""","=""1.17e+00""","=""-1.202""",B+,"=""0.0000000""","=""2.1838154""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""",8,10,,"=""T6708""","=""L2006,L3475""",
"=""568.5169""","=""0.0005""","=""568.517+""","=""140""","=""7.1e+05""","=""3.06e-03""","=""1.03e+00""","=""-1.26""",B+,"=""2.0403972""","=""4.221233""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""15/2""",18,16,,"=""T6708""","=""L2006,L3475""",
"=""570.4322""","=""0.0005""","=""570.4326+""","=""24""","=""2.98e+05""","=""1.27e-03""","=""3.8e-01""","=""-1.69""",B,"=""2.3176458""","=""4.4911575""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
"=""570.5081""","=""0.0005""","=""570.5081+""","=""24""","=""4.3e+05""","=""2.5e-03""","=""4.8e-01""","=""-1.59""",C+,"=""2.4485073""","=""4.6217314""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""570.6486""","=""0.0005""","=""570.6489+""","=""19""","=""2.11e+05""","=""8.6e-04""","=""1.93e-01""","=""-1.99""",C+,"=""2.3375761""","=""4.5102641""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""571.4007""","=""0.0005""","=""571.4009+""","=""90""","=""5.4e+05""","=""3.30e-03""","=""5.0e-01""","=""-1.58""",B+,"=""2.1024008""","=""4.2722293""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""571.7374""","=""0.0005""","=""571.738+""","=""220""","=""9.2e+05""","=""5.1e-03""","=""1.52e+00""","=""-1.093""",B+,"=""1.8933629""","=""4.061913""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""17/2""",16,18,,"=""T6708""","=""L2006,L3475""",
"=""571.8690""","=""0.0005""","=""571.869+""","=""160""","=""8.5e+05""","=""4.2e-03""","=""1.26e+00""","=""-1.18""",B+,"=""2.3176458""","=""4.485699""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)""","=""(6,5/2)*""","=""15/2""",16,16,,"=""T6708""","=""L2006""",
"=""575.1315""","=""0.0005""","=""575.1315+""","=""19""","=""2.21e+05""","=""9.1e-04""","=""2.08e-01""","=""-1.96""",B,"=""2.3545103""","=""4.5102641""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""575.7112""","=""0.0005""","=""575.7117+""","=""46""","=""3.1e+05""","=""1.80e-03""","=""4.1e-01""","=""-1.66""",B,"=""2.3375761""","=""4.4911575""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""575.9617""","=""0.0005""","=""575.961+""","=""270""","=""""","=""""","=""""","=""""",,"=""1.9326423""","=""4.085292""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<3/2>)""","=""(6,3/2)*""","=""13/2""",12,14,,"=""""","=""L2006,L3475""",
"=""576.1800""","=""0.0005""","=""576.1808+""","=""550""","=""8.2e+05""","=""4.1e-03""","=""4.7e-01""","=""-1.61""",B,"=""1.0874955""","=""3.2393236""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)""","=""5/2""",6,6,,"=""T6708""","=""L2006,L3475""",
"=""576.5886""","=""0.0005""","=""576.5891+""","=""1900""","=""3.9e+05""","=""1.93e-03""","=""2.94e-01""","=""-1.81""",B,"=""0.0000000""","=""2.1503043""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""580.2743""","=""0.0005""","=""580.2745+""","=""14""","=""1.28e+05""","=""7.5e-04""","=""1.73e-01""","=""-2.04""",C+,"=""2.3545103""","=""4.4911575""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""581.8071""","=""0.0005""","=""581.807+""","=""140h""","=""""","=""""","=""""","=""""",,"=""2.0403972""","=""4.171416""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)""","=""(6,7/2)*""","=""19/2""",18,20,,"=""""","=""L2006,L3475""",
"=""581.8261""","=""0.0005""","=""581.8263+""","=""16""","=""9.3e+04""","=""5.4e-04""","=""1.45e-01""","=""-2.12""",C+,"=""2.4135586""","=""4.5445074""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<3/2>)""","=""(6,3/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""584.3004""","=""0.0005""","=""584.3006+""","=""8""","=""7.1e+04""","=""4.5e-04""","=""7.0e-02""","=""-2.44""",C+,"=""2.1503043""","=""4.2722293""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""""","=""""","=""588.4099+""","=""""","=""2.23e+05""","=""1.16e-03""","=""3.1e-01""","=""-1.79""",B,"=""2.1641216""","=""4.2712276""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""13/2""",14,14,,"=""T6708""","=""""",
"=""589.726""","=""0.0015""","=""589.7267+""","=""2400""","=""6.5e+05""","=""3.39e-03""","=""5.3e-01""","=""-1.566""",B+,"=""0.0000000""","=""2.1024008""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""7/2""",8,8,,"=""T6708""","=""L3475""",
"=""590.1108""","=""0.0005""","=""590.1114+""","=""350""","=""9.0e+05""","=""6.2e-03""","=""7.3e-01""","=""-1.43""",C+,"=""1.0874955""","=""3.1885261""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f12.(3H<5>).5d<5/2>.6s2""","=""(5,5/2)""","=""7/2""",6,8,,"=""T6708""","=""L2006,L3475""",
"=""590.3207""","=""0.0005""","=""590.321+""","=""240""","=""1.53e+06""","=""9.0e-03""","=""2.80e+00""","=""-0.84""",B+,"=""2.3176458""","=""4.417930""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<5/2>)""","=""(6,5/2)*""","=""17/2""",16,18,,"=""T6708""","=""L2006,L3475""",
"=""591.4220""","=""0.0005""","=""591.4221+""","=""80""","=""""","=""""","=""""","=""""",,"=""3.1641991""","=""5.2605733""","=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[11/2]*""","=""11/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<3>)""","=""(7/2,3)""","=""11/2""",12,12,,"=""""","=""L2006,L3475""",
"=""591.7659""","=""0.0005""","=""591.7678+""","=""24""","=""8.1e+05""","=""3.5e-03""","=""8.2e-01""","=""-1.37""",B,"=""2.8900691""","=""4.9852185""","=""4f12.(3F<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""11/2""","=""4f12.(3F<3>).6s2.6p<3/2>""","=""(3,3/2)*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""592.2487""","=""0.0005""","=""592.2495+""","=""63""","=""6.2e+04""","=""3.3e-04""","=""3.8e-02""","=""-2.71""",B,"=""1.0874955""","=""3.1809410""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<0>)""","=""(5/2,0)""","=""5/2""",6,6,,"=""T6708""","=""L2006""",
"=""592.4263""","=""0.0005""","=""592.4263+""","=""9""","=""2.3e+05""","=""1.2e-03""","=""2.8e-01""","=""-1.84""",C,"=""2.7273391""","=""4.8201598""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""593.3346""","=""0.0005""","=""593.3344+""","=""110""","=""""","=""""","=""""","=""""",,"=""1.9326423""","=""4.0222599""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""9/2""",12,10,,"=""""","=""L2006,L3475""",
"=""593.7540""","=""0.0005""","=""593.754+""","=""270""","=""""","=""""","=""""","=""""",,"=""1.8933629""","=""3.981502""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<3/2>)""","=""(6,3/2)*""","=""15/2""",16,16,,"=""""","=""L2006,L3475""",
"=""594.9804""","=""0.0005""","=""594.980+""","=""31""","=""2.48e+05""","=""1.50e-03""","=""4.1e-01""","=""-1.68""",B,"=""2.4135586""","=""4.497395""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)""","=""*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""596.7664""","=""0.0005""","=""596.7668+""","=""61""","=""4.0e+05""","=""2.12e-03""","=""5.8e-01""","=""-1.53""",B,"=""2.4135586""","=""4.4911575""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
"=""597.2918""","=""0.0005""","=""597.2917+""","=""1400""","=""1.47e+05""","=""7.9e-04""","=""1.24e-01""","=""-2.20""",C+,"=""0.0000000""","=""2.0757728""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<0>)""","=""(7/2,0)""","=""7/2""",8,8,,"=""T3042n""","=""L2006,L3475""",
"=""597.6670""","=""0.0005""","=""597.667+""","=""270""","=""""","=""""","=""""","=""""",,"=""2.5301257""","=""4.604596""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""""","=""3/2""",6,4,,"=""""","=""L2006,L3475""",
"=""598.3392""","=""0.0005""","=""598.339+""","=""60""","=""4.9e+05""","=""3.00e-03""","=""8.3e-01""","=""-1.38""",B+,"=""2.4135586""","=""4.485699""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)""","=""(6,5/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""598.6525""","=""0.0005""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2006,L3475""",
"=""""","=""""","=""600.6790+""","=""""","=""2.2e+05""","=""1.47e-03""","=""2.3e-01""","=""-1.93""",C+,"=""2.6186499""","=""4.6827173""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""""",
"=""601.3521""","=""0.0005""","=""601.3522+""","=""6""","=""1.3e+05""","=""6.8e-04""","=""1.4e-01""","=""-2.17""",D+,"=""2.4485073""","=""4.5102641""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""602.7106""","=""0.0005""","=""602.710+""","=""190""","=""7.1e+05""","=""4.41e-03""","=""1.22e+00""","=""-1.210""",B+,"=""2.1641216""","=""4.221233""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006,L3475""",
"=""612.0577""","=""0.0005""","=""612.0574+""","=""250""","=""7.0e+05""","=""3.4e-03""","=""9.5e-01""","=""-1.33""",B,"=""2.1641216""","=""4.1898171""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""613.3229""","=""0.0005""","=""613.323+""","=""160""","=""5.6e+05""","=""3.16e-03""","=""1.15e+00""","=""-1.245""",B+,"=""2.0403972""","=""4.061913""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""17/2""",18,18,,"=""T6708""","=""L2006,L3475""",
"=""616.6256""","=""0.0005""","=""616.6256+""","=""3""","=""4.0e+04""","=""2.3e-04""","=""4.6e-02""","=""-2.64""",C,"=""2.3355381""","=""4.3462265""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""617.2514""","=""0.0005""","=""617.2513+""","=""13""","=""1.17e+05""","=""5.6e-04""","=""1.36e-01""","=""-2.18""",C+,"=""2.3375761""","=""4.3462265""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""617.7003""","=""0.0005""","=""617.700+""","=""140""","=""""","=""""","=""""","=""""",,"=""1.6266243""","=""3.633814""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""9/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<3/2>)""","=""(6,3/2)*""","=""9/2""",10,10,,"=""""","=""L2006,L3475""",
"=""618.0666""","=""0.0005""","=""618.0663+""","=""2""","=""2.5e+04""","=""1.7e-04""","=""3.5e-02""","=""-2.77""",C,"=""2.1838154""","=""4.1898171""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""622.4994""","=""0.0005""","=""622.4993+""","=""8""","=""6.6e+04""","=""3.2e-04""","=""7.9e-02""","=""-2.41""",C,"=""2.3545103""","=""4.3462265""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""624.4019""","=""0.0005""","=""624.4021+""","=""3""","=""8.0e+04""","=""5.5e-04""","=""1.3e-01""","=""-2.18""",D+,"=""2.7273391""","=""4.7129859""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""628.1311""","=""0.0005""","=""628.1311+""","=""3""","=""9.3e+04""","=""6.6e-04""","=""1.4e-01""","=""-2.18""",C,"=""2.6951295""","=""4.6689880""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
