obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""479.6683""","=""0.0005""","=""479.6679+""","=""24""","=""1.3e+06""","=""3.5e-03""","=""5.5e-01""","=""-1.46""",D+,"=""2.4485073""","=""5.0333000""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""7/2""",10,8,,"=""T6708""","=""L2006""",
"=""480.8821""","=""0.0005""","=""480.8821+""","=""270*""","=""1.83e+06""","=""6.3e-03""","=""1.81e+00""","=""-0.942""",B+,"=""2.0403972""","=""4.618663""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)""","=""*""","=""17/2""",18,18,,"=""T6708""","=""L2006,L3475""",
"=""480.8821""","=""0.0005""","=""480.8814+""","=""270*""","=""""","=""""","=""""","=""""",,"=""2.7970218""","=""5.375292""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""11/2""","=""""","=""""","=""9/2""",12,10,,"=""""","=""L2006,L3475""",
"=""481.0023""","=""0.0005""","=""481.0023+""","=""350""","=""3.8e+06""","=""1.09e-02""","=""2.07e+00""","=""-0.88""",B+,"=""1.9326423""","=""4.5102641""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006,L3475""",
"=""481.4841""","=""0.0005""","=""481.4841+""","=""350""","=""2.68e+06""","=""9.3e-03""","=""1.48e+00""","=""-1.03""",B,"=""2.4485073""","=""5.0235497""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006,L3475""",
"=""483.0315""","=""0.0005""","=""483.0312+""","=""270""","=""1.72e+06""","=""5.3e-03""","=""1.53e+00""","=""-1.017""",B+,"=""2.0403972""","=""4.607192""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.5d.6s.6p""","=""*""","=""15/2""",18,16,,"=""T6708""","=""L2006,L3475""",
"=""483.7105""","=""0.0005""","=""483.7100+""","=""350""","=""1.58e+06""","=""6.6e-03""","=""1.06e+00""","=""-1.177""",B+,"=""1.6266243""","=""4.1898171""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""9/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""11/2""",10,12,,"=""T6708""","=""L2006,L3475""",
"=""484.5945""","=""0.0005""","=""484.5943+""","=""110""","=""1.44e+06""","=""5.9e-03""","=""1.13e+00""","=""-1.149""",B+,"=""1.9326423""","=""4.4911575""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""484.8241""","=""0.0005""","=""484.8238+""","=""97""","=""2.48e+06""","=""8.7e-03""","=""1.67e+00""","=""-0.98""",B+,"=""2.3375761""","=""4.8948804""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[9/2]*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""485.3110""","=""0.0005""","=""485.3112+""","=""270D""","=""4.00e+07""","=""7.1e-02""","=""4.51e+00""","=""-0.549""",B+,"=""2.3720961""","=""4.926832""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[3/2]*""","=""1/2""",4,2,,"=""T6708""","=""L2006,L3475""",
