obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""318.6025""","=""""","=""318.60254+""","=""370*""","=""2.54e+07""","=""3.9e-02""","=""2.84e+00""","=""-0.57""",B,"=""1.4702664""","=""5.3617670""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""x 5F*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""318.6633""","=""""","=""318.66334+""","=""180""","=""6.1e+07""","=""5.6e-02""","=""2.92e+00""","=""-0.56""",B,"=""2.0632311""","=""5.9539893""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""318.9018""","=""""","=""318.90186+""","=""65""","=""3.5e+07""","=""6.8e-02""","=""5.0e+00""","=""-0.32""",B,"=""2.9344678""","=""6.8223159""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""96*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""318.9329""","=""""","=""318.93287+""","=""65""","=""4.4e+07""","=""9.4e-02""","=""4.9e+00""","=""-0.33""",B,"=""2.9178946""","=""6.8053647""","=""4d4.5s2""","=""a 3F""","=""2""","=""""","=""95*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""319.3715""","=""""","=""319.37147+""","=""95""","=""1.88e+07""","=""3.51e-02""","=""3.32e+00""","=""-0.50""",B+,"=""2.6227474""","=""6.5048787""","=""4d5.(4G).5s""","=""a 3G""","=""4""","=""""","=""59*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""319.4901""","=""""","=""319.49008+""","=""7600""","=""1.53e+08""","=""1.68e-01""","=""1.24e+01""","=""0.070""",B+,"=""0.0000000""","=""3.8806900""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d4.5s.(6D).5p""","=""y 7P*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""319.5801""","=""""","=""319.58005+""","=""65""","=""1.75e+07""","=""3.3e-02""","=""3.1e+00""","=""-0.53""",B,"=""2.9875597""","=""6.8671573""","=""4d4.5s2""","=""a 3H""","=""4""","=""""","=""100*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""319.6884""","=""""","=""319.68836+""","=""290""","=""4.1e+07""","=""4.9e-02""","=""4.6e+00""","=""-0.36""",B,"=""2.0764526""","=""5.9547358""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""3""",9,7,,"=""T5293""","=""L10250,L3475""",
"=""319.8106""","=""""","=""319.81068+""","=""24""","=""1.47e+07""","=""6.8e-02""","=""7.1e-01""","=""-1.17""",B,"=""2.5549963""","=""6.4317961""","=""4d4.5s2""","=""a 3P""","=""0""","=""""","=""48*""","=""1""",1,3,,"=""T5293""","=""L10250""",
"=""319.977""","=""""","=""319.97757+""","=""120*""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""5.4055215""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4H).5p""","=""z 5I*""","=""4""",9,9,,"=""""","=""L3475""",
"=""319.9779""","=""""","=""319.97785+""","=""120*""","=""7.2e+07""","=""9.6e-02""","=""1.52e+01""","=""0.16""",B,"=""3.1787772""","=""7.0535516""","=""4d5.(2I).5s""","=""a 3I""","=""7""","=""""","=""105*""","=""6""",15,13,,"=""T5293""","=""L10250,L3475""",
"=""320.1812""","=""""","=""320.18123+""","=""65""","=""1.82e+07""","=""4.7e-02""","=""1.48e+00""","=""-0.85""",B,"=""2.2911762""","=""6.1634893""","=""4d5.(4P).5s""","=""a 5P""","=""1""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""320.6142""","=""""","=""320.61423+""","=""330""","=""4.3e+07""","=""1.97e-01""","=""2.08e+00""","=""-0.70""",B,"=""1.3596041""","=""5.2266877""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d5.(4D).5p""","=""w 5D*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
"=""320.6360""","=""""","=""320.63605+""","=""82""","=""2.55e+07""","=""4.8e-02""","=""4.6e+00""","=""-0.36""",B,"=""2.9156714""","=""6.7824917""","=""4d4.5s2""","=""a 3F""","=""4""","=""""","=""92*""","=""5""",9,11,,"=""T5293""","=""L10250""",
"=""320.6813""","=""""","=""320.68134+""","=""880""","=""5.3e+07""","=""8.2e-02""","=""7.8e+00""","=""-0.13""",B,"=""1.5307436""","=""5.3970178""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""x 5F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""320.9765""","=""""","=""320.97644+""","=""3000""","=""2.77e+07""","=""3.06e-02""","=""2.26e+00""","=""-0.669""",A,"=""0.0000000""","=""3.8627196""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d4.5s.(6D).5p""","=""z 7D*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""321.1894""","=""""","=""321.18932+""","=""240""","=""6.9e+07""","=""7.7e-02""","=""5.7e+00""","=""-0.27""",B,"=""2.0696564""","=""5.9298159""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""321.5370""","=""""","=""321.53692+""","=""120""","=""2.00e+07""","=""2.41e-02""","=""2.30e+00""","=""-0.66""",B,"=""2.0764526""","=""5.9324391""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""""","=""22*""","=""3""",9,7,,"=""T5293""","=""L10250,L3475""",
"=""321.6000""","=""""","=""321.59997+""","=""560""","=""4.2e+07""","=""1.09e-01""","=""3.4e+00""","=""-0.49""",B,"=""1.3815291""","=""5.2367595""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4D).5p""","=""w 5D*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""321.7706""","=""""","=""321.77066+""","=""52""","=""2.10e+07""","=""2.8e-02""","=""4.5e+00""","=""-0.37""",B,"=""3.1787772""","=""7.0319626""","=""4d5.(2I).5s""","=""a 3I""","=""7""","=""4d5.(2H).5p""","=""z 1I*""","=""6""",15,13,,"=""T5293""","=""L10250""",
"=""322.2664""","=""""","=""322.26645+""","=""350*""","=""1.41e+08""","=""7.3e-02""","=""2.32e+00""","=""-0.66""",B,"=""1.3815291""","=""5.2287866""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4D).5p""","=""w 5D*""","=""0""",3,1,,"=""T5293""","=""L10250,L3475""",
"=""322.267""","=""""","=""322.26613+""","=""350*""","=""""","=""""","=""""","=""""",,"=""2.2601268""","=""6.1073880""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""""","=""28*""","=""3""",7,7,,"=""""","=""L3475""",
"=""322.9144""","=""""","=""322.91438+""","=""880""","=""3.9e+07""","=""8.4e-02""","=""4.5e+00""","=""-0.37""",B,"=""1.4201599""","=""5.2596977""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4D).5p""","=""w 5D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""323.0727""","=""""","=""323.07277+""","=""600""","=""1.44e+07""","=""2.75e-02""","=""2.64e+00""","=""-0.606""",B+,"=""1.5307436""","=""5.3683991""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""x 5F*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""323.4074""","=""""","=""323.40739+""","=""1100""","=""6.3e+07""","=""9.9e-02""","=""1.37e+01""","=""0.110""",B+,"=""2.0809329""","=""5.9146177""","=""4d5.(4G).5s""","=""a 5G""","=""6""","=""4d4.5s.(4F).5p""","=""y 5G*""","=""6""",13,13,,"=""T5293""","=""L10250,L3475""",
"=""323.7994""","=""""","=""323.79953+""","=""950""","=""2.95e+07""","=""6.0e-02""","=""4.4e+00""","=""-0.38""",B,"=""1.4702664""","=""5.2993083""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""w 5D*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
