obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""610.441""","=""610.4395""","=""35""","=""""","=""""","=""""","=""""",,"=""1.577460""","=""3.608524""","=""4d7.5s2""","=""b 4F""","=""9/2""","=""4d8.(3F).5p""","=""z 4G*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""611.784""","=""611.7836""","=""6""","=""""","=""""","=""""","=""""",,"=""1.676352""","=""3.702954""","=""4d8.(1D).5s""","=""b 2D""","=""5/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""612.976""","=""612.9750""","=""8""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.856126""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4G*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""618.860""","=""618.8601""","=""8""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""4.001891""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4F*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""620.171""","=""620.1693""","=""14""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.997662""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4G*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""625.545""","=""625.5446""","=""16""","=""""","=""""","=""""","=""""",,"=""1.985971""","=""3.967992""","=""4d8.(1G).5s""","=""a 2G""","=""9/2""","=""4d8.(3F).5p""","=""z 2F*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""627.840""","=""627.8398""","=""5""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.973237""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 2D*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""627.920""","=""627.9198""","=""8""","=""""","=""""","=""""","=""""",,"=""1.998715""","=""3.973237""","=""4d8.(1G).5s""","=""a 2G""","=""7/2""","=""4d8.(3F).5p""","=""z 2D*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""629.512""","=""629.5120""","=""6""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.967992""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 2F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""632.128""","=""632.1264""","=""29""","=""4.e+05""","=""2.4e-03""","=""5.e-01""","=""-1.6""",E,"=""1.577460""","=""3.538843""","=""4d7.5s2""","=""b 4F""","=""9/2""","=""4d8.(3F).5p""","=""z 4G*""","=""9/2""",10,10,,"=""T5181""","=""L3475""",
"=""641.649""","=""641.6475""","=""12""","=""""","=""""","=""""","=""""",,"=""3.578139""","=""5.510418""","=""4d8.(3F).5p""","=""z 4D*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""651.221""","=""651.2193""","=""16""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.902341""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""652.150""","=""652.1485""","=""19""","=""""","=""""","=""""","=""""",,"=""2.100726""","=""4.001891""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4F*""","=""3/2""",4,4,,"=""""","=""L3475""",
