property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,abundance
mass_energy_absorption_coefficient,0.02449,cm²/g,0.15 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1229,cm²/g,0.2 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02655,cm²/g,0.2 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1066,cm²/g,0.3 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.0287,cm²/g,0.3 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.09546,cm²/g,0.4 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.0295,cm²/g,0.4 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.08715,cm²/g,0.5 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02969,cm²/g,0.5 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.08058,cm²/g,0.6 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02956,cm²/g,0.6 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.07076,cm²/g,0.8 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02885,cm²/g,0.8 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.06361,cm²/g,1 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02792,cm²/g,1 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.0569,cm²/g,1.25 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02669,cm²/g,1.25 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.05179,cm²/g,1.5 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02551,cm²/g,1.5 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.04442,cm²/g,2 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02345,cm²/g,2 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
