obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""625.972""","=""625.9721+""","=""13""","=""""","=""""","=""""","=""""",,"=""1.6271699""","=""3.6078365""","=""4f2.(3H).5d (4I).6s""","=""5I""","=""5""","=""""","=""*""","=""5""",11,11,,"=""""","=""L3475""",
"=""626.600""","=""626.6007+""","=""15""","=""""","=""""","=""""","=""""",,"=""1.6868050""","=""3.6654845""","=""4f2.(3H).5d (4I).6s""","=""5I""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L3475""",
"=""627.821""","=""627.8214+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.3022275""","=""2.2770597""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""4""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""""","=""L3475""",
"=""629.732""","=""629.7317+""","=""35""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""1.9688415""","=""4f.5d.6s2""","=""1G*""","=""4""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""""","=""L3475""",
"=""630.195""","=""630.1946+""","=""23""","=""3.07e+06""","=""1.83e-02""","=""3.41e+00""","=""-0.784""",B+,"=""0.1586284""","=""2.1260238""","=""4f.5d.6s2""","=""3H*""","=""4""","=""4f.5d.(3G*).6s.6p.(3P*)?""","=""""","=""4""",9,9,,"=""T8748""","=""L3475""",
"=""630.838""","=""630.8386+""","=""13""","=""""","=""""","=""""","=""""",,"=""0.3980616""","=""2.3634485""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""5""",11,11,,"=""""","=""L3475""",
"=""631.175""","=""631.1757+""","=""35""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""1.9643373""","=""4f.5d.6s2""","=""1G*""","=""4""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""5I""","=""4""",9,9,,"=""""","=""L3475""",
"=""633.711""","=""633.7097+""","=""9""","=""""","=""""","=""""","=""""",,"=""0.4666775""","=""2.4231602""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""5""","=""4f.5d.(3D*).6s.6p.(3P*)""","=""""","=""4""",11,9,,"=""""","=""L3475""",
"=""633.896""","=""633.8965+""","=""11""","=""""","=""""","=""""","=""""",,"=""0.2062006""","=""2.1621066""","=""4f.5d.6s2""","=""3F*""","=""3""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""4""",7,9,,"=""""","=""L3475""",
"=""634.245""","=""634.2454+""","=""13""","=""""","=""""","=""""","=""""",,"=""1.0415578""","=""2.9963880""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""638.861""","=""638.8610+""","=""28""","=""""","=""""","=""""","=""""",,"=""1.5019588""","=""3.4426658""","=""4f2.(3H).5d (4I).6s""","=""5I""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L3475""",
"=""639.693""","=""639.6898+""","=""11""","=""""","=""""","=""""","=""""",,"=""1.2707158""","=""3.2089084""","=""4f.(2F*) .5d2.(3P).6s (4P)""","=""5D*""","=""0""","=""""","=""""","=""2""",1,5,,"=""""","=""L3475""",
"=""643.185""","=""643.1909+""","=""35i*""","=""""","=""""","=""""","=""""",,"=""1.3158278""","=""3.2434700""","=""""","=""*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L3475""",
"=""643.185""","=""643.1882+""","=""35i*""","=""""","=""""","=""""","=""""",,"=""1.6389953""","=""3.5666459""","=""4f.(2F*) .5d2.(1G).6s (2G)?""","=""3H*?""","=""6""","=""""","=""""","=""4""",13,9,,"=""""","=""L3475""",
"=""643.617""","=""643.6167+""","=""19""","=""""","=""""","=""""","=""""",,"=""0.0283737""","=""1.9547408""","=""4f.5d.6s2""","=""3F*""","=""2""","=""4f2.(3F).5d (4H).6s?""","=""""","=""3""",5,7,,"=""""","=""L3475""",
