obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""573.519""","=""0.003""","=""573.51752""","=""0.00023""","=""160""","=""""","=""""","=""""","=""""",,"=""5.7842023""","=""7.9460229""","=""5p3.(4S*).6s""","=""3S*""","=""1""","=""5p3.(4S*).7p""","=""3P""","=""1""",3,3,,"=""""","=""L5813,L3315,L3682""",
"=""579.083""","=""0.003""","=""579.08081""","=""0.00024""","=""140""","=""""","=""""","=""""","=""""",,"=""5.7842023""","=""7.9252541""","=""5p3.(4S*).6s""","=""3S*""","=""1""","=""5p3.(4S*).7p""","=""3P""","=""2""",3,5,,"=""""","=""L17457,L5813,L3315,L3682""",
"=""627.52""","=""0.06""","=""627.550""","=""0.020""","=""200""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""8.69552""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).9d""","=""5D*""","=""3""",5,7,,"=""""","=""L3315,L17457,L3546""",
"=""635.128""","=""0.003""","=""""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L17457,L3315""",
"=""640.796""","=""0.012""","=""640.7874""","=""0.0008""","=""210""","=""""","=""""","=""""","=""""",,"=""6.7615210""","=""8.6963936""","=""5p3.(4S*).6p""","=""5P""","=""3""","=""5p3.(4S*).9d""","=""5D*""","=""4""",7,9,,"=""""","=""L5813,L3315""",
"=""645.85""","=""0.06""","=""""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""661.52""","=""0.06""","=""""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""669.199""","=""0.003""","=""669.2001""","=""0.0004""","=""290""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""8.5725570""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).8d""","=""5D*""","=""3""",5,7,,"=""""","=""L17457,L3315""",
"=""679.19""","=""0.06""","=""679.2964""","=""0.0003""","=""300""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""8.5450202""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).8d""","=""3D*""","=""1""",5,3,,"=""""","=""L3315""",
"=""683.954""","=""0.003""","=""683.9550""","=""0.0005""","=""430""","=""""","=""""","=""""","=""""",,"=""6.7615210""","=""8.5742748""","=""5p3.(4S*).6p""","=""5P""","=""3""","=""5p3.(4S*).8d""","=""5D*""","=""4""",7,9,,"=""""","=""L17457,L3315""",
"=""685.577""","=""0.003""","=""""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L17457,L3315""",
"=""719.306""","=""0.003""","=""""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L17457,L3315,L3546""",
"=""726.580""","=""0.003""","=""""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3546,L3315""",
"=""728.29""","=""0.06""","=""""","=""""","=""190""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""755.89""","=""0.06""","=""755.90""","=""0.03""","=""270""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""8.36004""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).7d""","=""5D*""","=""3""",5,7,,"=""""","=""L3315""",
"=""776.12""","=""0.06""","=""776.11""","=""0.04""","=""430""","=""""","=""""","=""""","=""""",,"=""6.7615210""","=""8.35903""","=""5p3.(4S*).6p""","=""5P""","=""3""","=""5p3.(4S*).7d""","=""5D*""","=""4""",7,9,,"=""""","=""L3315""",
