obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""564.42700""","=""564.42700""","=""15""","=""""","=""""","=""""","=""""",,"=""5.0633751""","=""7.2600134""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""","=""4d9.(2D<3/2>).5d""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L9430""",
"=""565.70060""","=""565.70061""","=""14""","=""""","=""""","=""""","=""""",,"=""5.0550230""","=""7.2467158""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<3/2>).5d""","=""2[5/2]""","=""2""",5,5,,"=""""","=""L9430""",
"=""567.16432""","=""567.16437""","=""75""","=""""","=""""","=""""","=""""",,"=""4.6362356""","=""6.8222721""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<5/2>).5d""","=""2[7/2]""","=""4""",7,9,,"=""""","=""L9430""",
"=""569.17071""","=""569.17069""","=""11""","=""""","=""""","=""""","=""""",,"=""5.0633751""","=""7.2417058""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""","=""4d9.(2D<3/2>).5d""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L9430""",
"=""569.66718""","=""569.66723""","=""55w""","=""""","=""""","=""""","=""""",,"=""4.6362356""","=""6.8126676""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<5/2>).5d""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L9430""",
"=""573.82084""","=""573.82088""","=""18""","=""""","=""""","=""""","=""""",,"=""4.6362356""","=""6.7969133""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<5/2>).5d""","=""2[3/2]""","=""2""",7,5,,"=""""","=""L9430""",
"=""677.63864""","=""677.63872""","=""23""","=""""","=""""","=""""","=""""",,"=""3.1121565""","=""4.9418069""","=""4d8.5s2""","=""3F""","=""4""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""",9,7,,"=""""","=""L9430""",
"=""678.63612""","=""678.63618""","=""65""","=""""","=""""","=""""","=""""",,"=""4.2240148""","=""6.0509760""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L9430""",
"=""683.53313""","=""683.53317""","=""4w""","=""""","=""""","=""""","=""""",,"=""5.0050928""","=""6.8189653""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""","=""4d9.(2D<5/2>).5d""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L9430""",
"=""701.8381""","=""701.8381""","=""11""","=""""","=""""","=""""","=""""",,"=""4.7223340""","=""6.4888980""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""",1,3,,"=""""","=""L9430""",
"=""731.2067""","=""731.2067""","=""13w""","=""""","=""""","=""""","=""""",,"=""4.8120618""","=""6.5076727""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""2""",5,5,,"=""""","=""L9430""",
