obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""438.1778+""","=""""","=""2.61e+06""","=""7.5e-03""","=""6.5e-01""","=""-1.35""",B+,"=""0.1305757""","=""2.960117""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""439.110""","=""439.1103+""","=""60""","=""""","=""""","=""""","=""""",,"=""1.2050569""","=""4.028589""","=""5d2.(3P).6s""","=""2P""","=""3/2""","=""""","=""*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""""","=""439.4821+""","=""""","=""1.33e+07""","=""3.9e-02""","=""1.12e+00""","=""-1.11""",C+,"=""0.8965802""","=""3.717723""","=""5d2.(3P).6s""","=""4P""","=""1/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""1/2""",2,2,,"=""T9460""","=""""",
"=""""","=""439.8017+""","=""""","=""2.6e+06""","=""4.9e-03""","=""4.3e-01""","=""-1.53""",C+,"=""0.9521911""","=""3.771284&dagger;""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""440.389""","=""440.3877+""","=""50""","=""""","=""""","=""""","=""""",,"=""1.1213396""","=""3.936682""","=""5d2.(3P).6s""","=""2P""","=""1/2""","=""""","=""*""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""""","=""440.4252+""","=""""","=""1.09e+07""","=""6.3e-02""","=""1.8e+00""","=""-0.90""",C+,"=""0.8965802""","=""3.711683&dagger;""","=""5d2.(3P).6s""","=""4P""","=""1/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",2,4,,"=""T9460""","=""""",
"=""442.514""","=""442.5147+""","=""160""","=""4.65e+07""","=""1.71e-01""","=""1.99e+01""","=""0.135""",B+,"=""0.9983409""","=""3.800150""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""""","=""*""","=""9/2""",8,10,,"=""T9460""","=""L3475""",
"=""""","=""444.3922+""","=""""","=""3.76e+06""","=""1.40e-02""","=""1.63e+00""","=""-0.95""",B+,"=""0.4332660""","=""3.223238""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""9/2""",8,10,,"=""T9460""","=""""",
"=""""","=""444.5444+""","=""""","=""5.0e+07""","=""7.5e-02""","=""4.4e+00""","=""-0.53""",B+,"=""0.9287062""","=""3.717723""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""1/2""",4,2,,"=""T9460""","=""""",
"=""445.340""","=""445.3386+""","=""100*""","=""""","=""""","=""""","=""""",,"=""1.2349947""","=""4.019038""","=""5d2.(1G).6s""","=""2G""","=""7/2""","=""""","=""*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""445.340""","=""445.3399+""","=""100*""","=""""","=""""","=""""","=""""",,"=""0.8693659""","=""3.653401""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""""","=""*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""""","=""445.6455+""","=""""","=""1.55e+06""","=""4.6e-03""","=""2.7e-01""","=""-1.74""",C+,"=""0.0000000""","=""2.782126""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3F).6p""","=""4D*""","=""3/2""",4,4,,"=""T9460""","=""""",
"=""447.022""","=""447.0219+""","=""40""","=""5.3e+06""","=""2.13e-02""","=""1.88e+00""","=""-0.89""",C+,"=""0.3731927""","=""3.146752""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""448.1069+""","=""""","=""4.3e+06""","=""1.94e-02""","=""1.15e+00""","=""-1.11""",B,"=""0.3308132""","=""3.097657""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d2.(3P).6p?""","=""*""","=""5/2""",4,6,,"=""T9460""","=""""",
"=""448.732""","=""448.7311+""","=""40""","=""2.19e+07""","=""9.9e-02""","=""5.9e+00""","=""-0.40""",B+,"=""0.9287062""","=""3.691701&dagger;""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""""","=""449.3009+""","=""""","=""2.36e+07""","=""4.7e-02""","=""4.2e+00""","=""-0.55""",B,"=""0.9521911""","=""3.711683&dagger;""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""449.437""","=""449.4363+""","=""40""","=""3.5e+06""","=""1.40e-02""","=""1.24e+00""","=""-1.08""",C+,"=""0.1305757""","=""2.889236""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3F).6p""","=""4D*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""449.5061+""","=""""","=""3.26e+06""","=""4.9e-03""","=""2.93e-01""","=""-1.70""",B+,"=""0.0000000""","=""2.758232""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3F).6p""","=""4D*""","=""1/2""",4,2,,"=""T9460""","=""""",
"=""449.597""","=""449.5960+""","=""40""","=""1.41e+07""","=""4.3e-02""","=""2.54e+00""","=""-0.77""",B+,"=""0.3308132""","=""3.088493""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""4f.5d.(1D*).6s?""","=""*""","=""3/2""",4,4,,"=""T9460""","=""L3475""",
"=""""","=""450.0302+""","=""""","=""2.14e+07""","=""5.2e-02""","=""7.7e+00""","=""-0.28""",B,"=""1.2299011""","=""3.984920""","=""5d2.(1G).6s""","=""2G""","=""9/2""","=""""","=""*""","=""7/2""",10,8,,"=""T9460""","=""""",
"=""450.148""","=""450.1469+""","=""90""","=""4.79e+07""","=""1.94e-01""","=""1.72e+01""","=""0.066""",B+,"=""0.9521911""","=""3.706496""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
