obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""""","=""2896.76""","=""0.12""","=""""","=""4.63e+02""","=""5.82e-05""","=""1.11e-02""","=""-3.93""",B,"=""4.748533""","=""5.176542""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""2896.76""","=""0.12""","=""""","=""4.63e+02""","=""1.16e-04""","=""2.22e-02""","=""-3.633""",B,"=""4.748533""","=""5.176542""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""3.10e+04""","=""6.11e-03""","=""2.92e+00""","=""-1.612""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""1.55e+05""","=""6.11e-02""","=""1.46e+01""","=""-0.913""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""1.86e+05""","=""5.50e-02""","=""2.63e+01""","=""-0.657""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
"=""""","=""3764.07""","=""0.20""","=""""","=""4.54e+03""","=""9.64e-04""","=""4.78e-01""","=""-2.414""",A,"=""4.847154""","=""5.176542""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""3764.07""","=""0.20""","=""""","=""4.54e+04""","=""4.82e-03""","=""2.39e+00""","=""-1.715""",A,"=""4.847154""","=""5.176542""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""3764.08""","=""0.20""","=""""","=""4.08e+04""","=""5.78e-03""","=""4.30e+00""","=""-1.460""",A,"=""4.847155""","=""5.176542""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""3808.96""","=""0.21""","=""""","=""1.36e+06""","=""4.45e-01""","=""2.23e+02""","=""0.250""",A,"=""4.521648""","=""4.847155""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
"=""""","=""3808.97""","=""0.21""","=""""","=""2.27e+05""","=""4.94e-02""","=""2.48e+01""","=""-0.704""",A,"=""4.521648""","=""4.847154""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""3808.97""","=""0.21""","=""""","=""1.14e+06""","=""4.94e-01""","=""1.24e+02""","=""-0.005""",A,"=""4.521648""","=""4.847154""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""3888.7""","=""1.5""","=""""","=""1.55e+05""","=""1.75e-02""","=""8.97e+00""","=""-1.154""",A,"=""4.837313""","=""5.15614""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
