obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""926.982""","=""926.97+""","=""135""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""7.73637""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""4P*""","=""1/2""",4,2,,"=""""","=""L4831""",
"=""930.316""","=""930.31+""","=""200""","=""""","=""""","=""""","=""""",,"=""6.55850""","=""7.89122""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""4s2.4p2.(3P).5p""","=""4S*""","=""3/2""",6,4,,"=""""","=""L4831""",
"=""960.058""","=""960.05+""","=""230""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""7.69028""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""4P*""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""962.934""","=""962.94+""","=""290""","=""""","=""""","=""""","=""""",,"=""6.55850""","=""7.84607""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""4s2.4p2.(3P).5p""","=""4P*""","=""5/2""",6,6,,"=""""","=""L4831""",
"=""983.646""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4831""",
"=""988.876""","=""988.88+""","=""100""","=""""","=""""","=""""","=""""",,"=""7.54010""","=""8.79389""","=""4s2.4p2.(1D).5s""","=""2D""","=""5/2""","=""4s2.4p2.(1D).5p""","=""2F*""","=""7/2""",6,8,,"=""""","=""L4831""",
"=""990.326""","=""990.32+""","=""140""","=""""","=""""","=""""","=""""",,"=""6.28523""","=""7.53719""","=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""4D*""","=""1/2""",2,2,,"=""""","=""L4831""",
"=""991.843""","=""991.84+""","=""170""","=""""","=""""","=""""","=""""",,"=""6.77019""","=""8.02024""","=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""2P*""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""992.577""","=""992.58+""","=""290""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""7.64797""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""4D*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""1001.337""","=""1001.34+""","=""100""","=""""","=""""","=""""","=""""",,"=""7.54255""","=""8.78073""","=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""","=""4s2.4p2.(1D).5p""","=""2F*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""1002.679""","=""1002.68+""","=""290""","=""""","=""""","=""""","=""""",,"=""6.55850""","=""7.79504""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""4s2.4p2.(3P).5p""","=""4D*""","=""7/2""",6,8,,"=""""","=""L4831""",
"=""1045.595""","=""1045.60+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.77019""","=""7.95597""","=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""1057.792""","=""1057.79+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.28523""","=""7.457333""","=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""2S*""","=""1/2""",2,2,,"=""""","=""L4831""",
"=""1061.698""","=""1061.71+""","=""170""","=""""","=""""","=""""","=""""",,"=""6.58797""","=""7.75576""","=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""2D*""","=""3/2""",2,4,,"=""""","=""L4831""",
