obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""440.502""","=""440.502+""","=""65""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.329507""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""442.751""","=""442.751+""","=""110""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""4.024971""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""445.143""","=""445.142+""","=""15""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.781829""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""""","=""3856*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""447.974""","=""447.974+""","=""55""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""4.390359""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""449.661""","=""449.661+""","=""16""","=""""","=""""","=""""","=""""",,"=""4.099516""","=""6.856797""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""5/2""","=""""","=""5530""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""449.729""","=""449.729+""","=""11w""","=""""","=""""","=""""","=""""",,"=""4.237839""","=""6.994702""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""11/2""","=""""","=""5641""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""454.695""","=""454.692+""","=""55""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""4.349465""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""454.976""","=""454.975+""","=""30""","=""""","=""""","=""""","=""""",,"=""3.785195""","=""6.510273""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""7/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""455.206""","=""455.204+""","=""13""","=""""","=""""","=""""","=""""",,"=""1.605802""","=""4.329507""","=""5d8.(3P).6s""","=""a 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""456.937""","=""456.936+""","=""35""","=""""","=""""","=""""","=""""",,"=""1.311589""","=""4.024971""","=""5d8.(3P).6s""","=""a 2P""","=""3/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",4,4,,"=""""","=""L3475""",
