obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""855.0007""","=""0.002""","=""855.0011""","=""0.0022""","=""11*""","=""3.14e+06""","=""4.82e-02""","=""6.79e+00""","=""-0.618""",B,"=""7.303641""","=""8.753747""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",5,7,,"=""u28""","=""L4743""",
"=""880.3787""","=""0.002""","=""880.3784""","=""0.0023""","=""17""","=""9.59e+06""","=""1.56e-01""","=""2.26e+01""","=""-0.108""",B,"=""7.0525370""","=""8.460843""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.4f""","=""1F*""","=""3""",5,7,,"=""u28""","=""L4743""",
"=""""","=""""","=""880.398""","=""0.005""","=""""","=""5.1e+03""","=""8.3e-05""","=""1.2e-02""","=""-3.4""",D,"=""7.0525370""","=""8.460811""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.4f""","=""3F*""","=""3""",5,7,,"=""u28""","=""""",
"=""""","=""""","=""888.42""","=""0.04""","=""""","=""4.57e+03""","=""5.41e-05""","=""4.75e-03""","=""-3.789""",B,"=""7.6936830""","=""[9.08924]""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.8p""","=""1P*""","=""1""",3,3,,"=""u28""","=""""",
"=""""","=""""","=""888.42""","=""0.04""","=""""","=""1.37e+04""","=""9.71e-05""","=""1.42e-02""","=""-3.314""",B,"=""7.693683""","=""[9.08924]""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.8p""","=""1P*""","=""1""",5,3,,"=""u28""","=""""",
"=""888.462""","=""0.002""","=""888.460""","=""0.006""","=""2*""","=""1.59e+05""","=""6.28e-04""","=""5.51e-02""","=""-2.725""",B,"=""7.6936830""","=""9.089179""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.8p""","=""3P*""","=""0""",3,1,,"=""u28""","=""L483""",
"=""888.462""","=""0.002""","=""888.461""","=""0.003""","=""2*""","=""1.06e+05""","=""7.52e-04""","=""1.10e-01""","=""-2.42""",B,"=""7.693683""","=""9.089177""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.8p""","=""3P*""","=""1""",5,3,,"=""u28""","=""L483""",
"=""888.462""","=""0.002""","=""888.461""","=""0.003""","=""2*""","=""3.52e+04""","=""4.17e-04""","=""3.66e-02""","=""-2.903""",B,"=""7.6936830""","=""9.089177""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.8p""","=""3P*""","=""1""",3,3,,"=""u28""","=""L483""",
"=""888.462""","=""0.002""","=""888.4618""","=""0.0024""","=""2*""","=""1.33e+05""","=""1.13e-03""","=""2.31e-01""","=""-2.103""",B,"=""7.693683""","=""9.089176""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.8p""","=""3P*""","=""2""",7,5,,"=""u28""","=""L483""",
"=""888.462""","=""0.002""","=""888.4615""","=""0.0024""","=""2*""","=""1.59e+03""","=""3.13e-05""","=""2.75e-03""","=""-4.027""",B,"=""7.6936830""","=""9.089176""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.8p""","=""3P*""","=""2""",3,5,,"=""u28""","=""L483""",
"=""888.462""","=""0.002""","=""888.4618""","=""0.0024""","=""2*""","=""2.39e+04""","=""2.82e-04""","=""4.13e-02""","=""-2.850""",B,"=""7.693683""","=""9.089176""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.8p""","=""3P*""","=""2""",5,5,,"=""u28""","=""L483""",
"=""""","=""""","=""898.165""","=""0.007""","=""""","=""2.13e+06""","=""8.59e-03""","=""7.62e-01""","=""-1.589""",B,"=""7.4622919""","=""8.842708""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.6s""","=""1S""","=""0""",3,1,,"=""u28""","=""""",
"=""919.297""","=""0.002""","=""919.297""","=""0.003""","=""3*""","=""1.79e+05""","=""2.27e-03""","=""4.80e-01""","=""-1.800""",A,"=""7.693683""","=""9.042368""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""3""",7,7,,"=""u28""","=""L483""",
"=""919.297""","=""0.002""","=""919.297""","=""0.003""","=""3*""","=""1.35e+06""","=""2.85e-02""","=""2.59e+00""","=""-1.068""",A,"=""7.6936830""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.7f""","=""3F*""","=""2""",3,5,,"=""u28""","=""L483""",
"=""919.297""","=""0.002""","=""919.297""","=""0.003""","=""3*""","=""1.43e+06""","=""2.54e-02""","=""3.84e+00""","=""-0.897""",A,"=""7.693683""","=""9.042368""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7f""","=""3F*""","=""3""",5,7,,"=""u28""","=""L483""",
"=""919.297""","=""0.002""","=""919.298""","=""0.003""","=""3*""","=""2.50e+05""","=""3.17e-03""","=""4.79e-01""","=""-1.801""",A,"=""7.693683""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7f""","=""3F*""","=""2""",5,5,,"=""u28""","=""L483""",
"=""919.297""","=""0.002""","=""919.298""","=""0.003""","=""3*""","=""7.15e+03""","=""6.47e-05""","=""1.37e-02""","=""-3.34""",A,"=""7.693683""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""2""",7,5,,"=""u28""","=""L483""",
