obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""167.60154""","=""0.00020""","=""167.601343""","=""0.000017""","=""3300""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.4937623""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""b 1P*""","=""1""",5,3,,"=""""","=""L11529""",
"=""167.78443""","=""0.00020""","=""167.784498""","=""0.000005""","=""14000""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.49161161""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2G).6p""","=""3G*""","=""4""",9,9,,"=""""","=""L11529""",
"=""167.92007""","=""0.00020""","=""167.920044""","=""0.000006""","=""1100""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.4797222""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(4F).6p""","=""3F*""","=""3""",5,7,,"=""""","=""L11529""",
"=""168.08886""","=""0.00020""","=""168.08878""","=""0.00011""","=""4800""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.376114""","=""5d9.6s""","=""3D""","=""3""","=""5d9.7p""","=""b 3F*""","=""4""",7,9,,"=""""","=""L11529""",
"=""169.07825""","=""0.00020""","=""169.07842""","=""0.00009""","=""5300""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.429137""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""3D*""","=""3""",5,7,,"=""""","=""L11529""",
"=""169.08699""","=""0.00020""","=""169.087252""","=""0.000009""","=""1600""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.4287538""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""b 1D*""","=""2""",5,5,,"=""""","=""L11529""",
"=""169.11787""","=""0.00020""","=""169.11814""","=""0.00007""","=""530""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.145478""","=""5d9.6s""","=""3D""","=""2""","=""""","=""m*""","=""2 or 1""",5,1,,"=""""","=""L11529""",
"=""169.21497""","=""0.00020""","=""169.21513""","=""0.00009""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.429137""","=""5d8.6s2""","=""3F""","=""4""","=""5d9.7p""","=""3D*""","=""3""",9,7,,"=""""","=""L11529""",
"=""169.44440""","=""0.00020""","=""169.44462""","=""0.00006""","=""140""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.413289""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(4P).6p""","=""3S*""","=""1""",5,3,,"=""""","=""L11529""",
"=""169.88732""","=""0.00020""","=""169.887372""","=""0.000007""","=""910""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.4001442""","=""5d8.6s2""","=""3F""","=""4""","=""5d7.(4F).6s2.6p""","=""5G*""","=""3""",9,7,,"=""""","=""L11529""",
"=""170.39703""","=""0.00020""","=""170.397198""","=""0.000012""","=""130""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.3723840""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""a 1D*""","=""2""",5,5,,"=""""","=""L11529""",
"=""170.4489""","=""0.0010""","=""170.44861""","=""0.00012""","=""86""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.376114""","=""5d8.6s2""","=""3F""","=""4""","=""5d9.7p""","=""b 3F*""","=""4""",9,9,,"=""""","=""L11529""",
"=""170.82132""","=""0.00020""","=""170.82131""","=""0.00012""","=""1500""","=""""","=""""","=""""","=""""",,"=""1.25431290""","=""8.512435""","=""5d8.6s2""","=""3F""","=""3""","=""""","=""w*""","=""3""",7,7,,"=""""","=""L11529""",
"=""170.87393""","=""0.00020""","=""170.873981""","=""0.000006""","=""450""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.35800610""","=""5d8.6s2""","=""3F""","=""4""","=""5d9.7p""","=""a 3F*""","=""4""",9,9,,"=""""","=""L11529""",
"=""170.96984""","=""0.00020""","=""170.96971""","=""0.00012""","=""220""","=""""","=""""","=""""","=""""",,"=""1.25431290""","=""8.506136""","=""5d8.6s2""","=""3F""","=""3""","=""""","=""v*""","=""2""",7,5,,"=""""","=""L11529""",
"=""170.9931""","=""0.0010""","=""170.992336""","=""0.000006""","=""47""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.2508629""","=""5d9.6s""","=""3D""","=""3""","=""5d9.7p""","=""1F*""","=""3""",7,7,,"=""""","=""L11529""",
"=""171.01391""","=""0.00020""","=""171.01401""","=""0.00012""","=""130""","=""""","=""""","=""""","=""""",,"=""1.25619158""","=""8.506136""","=""5d9.6s""","=""3D""","=""1""","=""""","=""v*""","=""2""",3,5,,"=""""","=""L11529""",
"=""171.26670""","=""0.00020""","=""171.266723""","=""0.000005""","=""3400""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.23924626""","=""5d9.6s""","=""3D""","=""3""","=""5d7.(4F).6s2.6p""","=""5G*""","=""4""",7,9,,"=""""","=""L11529""",
"=""171.37421""","=""0.00020""","=""171.374246""","=""0.000009""","=""190""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.3309006""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(2D).6p""","=""b 3F*""","=""2""",5,5,,"=""""","=""L11529""",
"=""171.41842""","=""0.00020""","=""171.418454""","=""0.000015""","=""990""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.0470987""","=""5d9.6s""","=""3D""","=""2""","=""5d8.(3F<4>).6s.7p.(3P*<2>)""","=""(4,2)*""","=""3""",5,7,,"=""""","=""L11529""",
"=""171.44801""","=""0.00020""","=""171.44801""","=""0.00009""","=""4700""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.231592""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(2P).6p""","=""3D*""","=""2""",7,5,,"=""""","=""L11529""",
"=""172.09199""","=""0.00020""","=""172.09201""","=""0.00007""","=""320""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.018790""","=""5d9.6s""","=""3D""","=""2""","=""5d7.(4P).6s2.6p""","=""5D*""","=""3""",5,7,,"=""""","=""L11529""",
"=""172.2600""","=""0.0010""","=""172.258810""","=""0.000018""","=""100""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.0118136""","=""5d9.6s""","=""3D""","=""2""","=""5d8.6s.(4P).6p""","=""3D*""","=""1""",5,3,,"=""""","=""L11529""",
"=""172.39935""","=""0.00020""","=""172.399191""","=""0.000009""","=""1600""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.2878890""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""a 1P*""","=""1""",5,3,,"=""""","=""L11529""",
"=""172.5691""","=""0.0010""","=""172.567949""","=""0.000018""","=""79""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.9989199""","=""5d9.6s""","=""3D""","=""2""","=""5d7.(4F).6s2.6p""","=""c 5G*""","=""2""",5,5,,"=""""","=""L11529""",
"=""173.2931""","=""0.0010""","=""173.291373""","=""0.000006""","=""37""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.2508629""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""1F*""","=""3""",5,7,,"=""""","=""L11529""",
"=""173.717266""","=""0.000009""","=""173.717278""","=""0.000005""","=""9700""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.23924626""","=""5d8.6s2""","=""3F""","=""4""","=""5d7.(4F).6s2.6p""","=""5G*""","=""4""",9,9,,"=""""","=""L9083,L11529""",
"=""173.75956""","=""0.00020""","=""173.75940""","=""0.00009""","=""1700""","=""2.8e+07""","=""1.3e-02""","=""4.e-01""","=""-1.2""",E,"=""0.09619638""","=""7.231592""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(2P).6p""","=""3D*""","=""2""",5,5,,"=""T2202""","=""L11529""",
"=""173.89433""","=""0.00020""","=""173.894208""","=""0.000005""","=""780""","=""4.e+06""","=""1.7e-03""","=""7.e-02""","=""-1.9""",E,"=""0.00000000""","=""7.12986360""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(2G).6p""","=""a 3F*""","=""3""",7,7,,"=""T2202""","=""L11529""",
"=""174.443063""","=""0.000020""","=""174.443081""","=""0.000009""","=""6900""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.2036264""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""3F*""","=""3""",5,7,,"=""""","=""L9083,L11529""",
"=""174.58874""","=""0.00020""","=""174.588613""","=""0.000009""","=""1400""","=""1.6e+07""","=""6.e-03""","=""2.9e-01""","=""-1.3""",E,"=""0.10212092""","=""7.2036264""","=""5d8.6s2""","=""3F""","=""4""","=""5d9.7p""","=""3F*""","=""3""",9,7,,"=""T2202""","=""L11529""",
"=""174.64563""","=""0.00020""","=""174.64548""","=""0.00007""","=""2600""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.913453""","=""5d9.6s""","=""3D""","=""2""","=""5d7.(4F).6s2.6p""","=""b 5G*""","=""2""",5,5,,"=""""","=""L11529""",
"=""174.79003""","=""0.00020""","=""174.79002""","=""0.00003""","=""37""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.1895187""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""3P*""","=""2""",5,5,,"=""""","=""L11529""",
"=""175.66264""","=""0.00020""","=""175.66268""","=""0.00007""","=""500""","=""""","=""""","=""""","=""""",,"=""0.7612841""","=""7.819368""","=""5d10""","=""1S""","=""0""","=""5d8.6s.(2D).6p""","=""b 3D*""","=""1""",1,3,,"=""""","=""L11529""",
"=""175.75047""","=""0.00020""","=""175.750550""","=""0.000025""","=""540""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.8688156""","=""5d9.6s""","=""3D""","=""2""","=""5d8.6s.(2P).6p""","=""3P*""","=""1""",5,3,,"=""""","=""L11529""",
"=""176.06896""","=""0.00020""","=""176.06904""","=""0.00019""","=""430bl""","=""""","=""""","=""""","=""""",,"=""1.25619158""","=""8.297986""","=""5d9.6s""","=""3D""","=""1""","=""5d9.7p""","=""(3/2,1/2)*""","=""2""",3,5,,"=""""","=""L11529""",
"=""176.27266""","=""0.00020""","=""176.272483""","=""0.000005""","=""450""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.12986360""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(2G).6p""","=""a 3F*""","=""3""",5,7,,"=""""","=""L11529""",
"=""176.42127""","=""0.00020""","=""176.421085""","=""0.000005""","=""990""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.12986360""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2G).6p""","=""a 3F*""","=""3""",9,7,,"=""""","=""L11529""",
"=""176.459666""","=""0.000010""","=""176.459651""","=""0.000006""","=""9400""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.0262067""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(4P).6p""","=""3P*""","=""2""",7,5,,"=""""","=""L9083,L11529""",
"=""176.67883""","=""0.00020""","=""176.678830""","=""0.000007""","=""760""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.8317506""","=""5d9.6s""","=""3D""","=""2""","=""5d8.(3F<4>).6s.7p.(3P*<1>)""","=""(4,1)*""","=""3""",5,7,,"=""""","=""L11529""",
"=""176.99101""","=""0.00020""","=""176.99113""","=""0.00007""","=""330""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.819368""","=""5d9.6s""","=""3D""","=""2""","=""5d8.6s.(2D).6p""","=""b 3D*""","=""1""",5,3,,"=""""","=""L11529""",
"=""177.61777""","=""0.00020""","=""177.61781""","=""0.00009""","=""850""","=""""","=""""","=""""","=""""",,"=""1.25619158""","=""8.236584""","=""5d9.6s""","=""3D""","=""1""","=""""","=""q*""","=""1""",3,3,,"=""""","=""L11529""",
"=""177.65563""","=""0.00004""","=""177.655664""","=""0.000006""","=""24000""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""6.97890491""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(2G).6p""","=""3F*""","=""4""",7,9,,"=""""","=""L9083,L11529""",
