obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""1030.244""","=""0.003""","=""1030.244+""","=""1000""","=""""","=""""","=""""","=""""",,"=""8.551216""","=""9.754661""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""",2,4,,"=""""","=""L351""",
"=""1038.049""","=""0.003""","=""1038.051+""","=""1500""","=""""","=""""","=""""","=""""",,"=""9.258188""","=""10.452582""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<1>).4d""","=""2[2]""","=""5/2""",6,6,,"=""""","=""L351""",
"=""1046.083""","=""0.003""","=""1046.080+""","=""30000""","=""""","=""""","=""""","=""""",,"=""8.329702""","=""9.514929""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""",4,4,,"=""""","=""L351""",
"=""1074.508""","=""0.003""","=""1074.506+""","=""1000""","=""""","=""""","=""""","=""""",,"=""9.800269""","=""10.954140""","=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""7/2""","=""4s2.4p4.(3P<2>).4f""","=""2[3]*""","=""7/2""",8,8,,"=""""","=""L351""",
"=""1075.887""","=""0.003""","=""1075.887+""","=""3000""","=""""","=""""","=""""","=""""",,"=""9.800269""","=""10.952660""","=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""7/2""","=""4s2.4p4.(3P<2>).4f""","=""2[4]*""","=""9/2""",8,10,,"=""""","=""L351""",
"=""1322.078""","=""""","=""1322.078+""","=""1700:""","=""""","=""""","=""""","=""""",,"=""9.258188""","=""10.195986""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""",6,6,,"=""""","=""L351""",
"=""1435.849""","=""""","=""1435.85+""","=""1800:""","=""""","=""""","=""""","=""""",,"=""9.385238""","=""10.248728""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""3/2""",6,4,,"=""""","=""L351""",
"=""1489.277""","=""""","=""1489.28+""","=""1250:""","=""""","=""""","=""""","=""""",,"=""9.363473""","=""10.195986""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""",8,6,,"=""""","=""L351""",
"=""1673.576""","=""""","=""1673.58+""","=""1800:""","=""""","=""""","=""""","=""""",,"=""9.385238""","=""10.126072""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""5/2""",6,6,,"=""""","=""L351""",
"=""1857.338""","=""""","=""1857.34+""","=""1200:""","=""""","=""""","=""""","=""""",,"=""9.385238""","=""10.052775""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).4d""","=""2[4]""","=""7/2""",6,8,,"=""""","=""L1505""",
"=""1973.901""","=""""","=""1973.90+""","=""3500:""","=""""","=""""","=""""","=""""",,"=""9.363473""","=""9.991590""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).4d""","=""2[4]""","=""9/2""",8,10,,"=""""","=""L1505""",
"=""2028.727""","=""""","=""2028.73+""","=""1000:""","=""""","=""""","=""""","=""""",,"=""9.514929""","=""10.126072""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L1505""",
"=""2063.030""","=""""","=""2063.03+""","=""1000:""","=""""","=""""","=""""","=""""",,"=""9.734198""","=""10.335179""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<1>).4d""","=""2[3]""","=""7/2""",6,8,,"=""""","=""L1505""",
"=""2179.319""","=""""","=""2179.32+""","=""1200:""","=""""","=""""","=""""","=""""",,"=""9.258188""","=""9.827100""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""5/2""",6,6,,"=""""","=""L1505""",
"=""2287.189""","=""""","=""2287.19+""","=""4000:""","=""""","=""""","=""""","=""""",,"=""9.258188""","=""9.800269""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""7/2""",6,8,,"=""""","=""L1505""",
"=""2351.957""","=""""","=""2351.96+""","=""1000:""","=""""","=""""","=""""","=""""",,"=""9.299947""","=""9.827100""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""5/2""",4,6,,"=""""","=""L1505""",
"=""""","=""""","=""2713.53+""","=""""","=""9.0e-01""","=""5.0e-08""","=""1.33e+00""","=""-6.7""",B,"=""0.000000""","=""0.456912""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p5""","=""2P*""","=""1/2""",4,2,M1,"=""T1416""","=""""",
"=""2835.423""","=""""","=""2835.42+""","=""500:""","=""""","=""""","=""""","=""""",,"=""10.195986""","=""10.633254""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",6,8,,"=""""","=""L1505""",
"=""3038.914""","=""""","=""3038.91+""","=""500:""","=""""","=""""","=""""","=""""",,"=""10.195986""","=""10.603974""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""5/2""",6,6,,"=""""","=""L1505""",
"=""3163.876""","=""""","=""3163.88+""","=""600:""","=""""","=""""","=""""","=""""",,"=""9.734198""","=""10.126072""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""5/2""",6,6,,"=""""","=""L1505""",
"=""3270.282""","=""""","=""3270.28+""","=""120:""","=""""","=""""","=""""","=""""",,"=""9.816862""","=""10.195986""","=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""3/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L1505""",
"=""3419.119""","=""""","=""3419.12+""","=""150:""","=""""","=""""","=""""","=""""",,"=""10.248728""","=""10.611349""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""3/2""",4,4,,"=""""","=""L1505""",
"=""3835.621""","=""""","=""3835.62+""","=""150:""","=""""","=""""","=""""","=""""",,"=""10.778353""","=""11.101597""","=""4s2.4p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""4s2.4p4.(3P<2>).7p""","=""2[2]*""","=""3/2""",6,4,,"=""""","=""L1505""",
"=""3932.832""","=""0.023""","=""3932.83+""","=""70""","=""""","=""""","=""""","=""""",,"=""10.952660""","=""11.267915""","=""4s2.4p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""4s2.4p4.(3P<2>).5g""","=""2[5]""","=""11/2""",10,12,,"=""""","=""L821""",
"=""3997.526""","=""0.024""","=""3997.52+""","=""120*""","=""""","=""""","=""""","=""""",,"=""10.959234""","=""11.269386""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""13/2""",12,14,,"=""""","=""L821""",
"=""3997.526""","=""0.024""","=""3997.52+""","=""120*""","=""""","=""""","=""""","=""""",,"=""10.959234""","=""11.269386""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""11/2""",12,12,,"=""""","=""L821""",
"=""3997.526""","=""0.024""","=""3997.52+""","=""120*""","=""""","=""""","=""""","=""""",,"=""10.959234""","=""11.269386""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""11/2""",10,12,,"=""""","=""L821""",
