obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""535.318""","=""535.317+""","=""75h""","=""1.38e+07""","=""5.9e-02""","=""8.3e+00""","=""-0.32""",B+,"=""1.911991""","=""4.228082""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
"=""535.433""","=""535.432+""","=""40""","=""3.79e+07""","=""1.63e-01""","=""1.15e+01""","=""-0.186""",B+,"=""2.224957""","=""4.540549""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""3/2""","=""4f7.(8S*).6s (7S*).6d""","=""e 6D*""","=""3/2""",4,4,,"=""T7356""","=""L7586,L3475""",
"=""535.659""","=""535.658+""","=""90""","=""""","=""""","=""""","=""""",,"=""2.059599""","=""4.374216""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""","=""4f7.(8S*).5d2?""","=""8P*?""","=""9/2""",10,10,,"=""""","=""L7586,L3475""",
"=""535.910""","=""535.915+""","=""540*""","=""""","=""""","=""""","=""""",,"=""2.433966""","=""4.747470""","=""4f7.(8S*).5d (7D*).6s""","=""b 8D*""","=""9/2""","=""""","=""148""","=""7/2?""",10,8,,"=""""","=""L7586,L3475""",
"=""535.910""","=""535.905+""","=""540*""","=""""","=""""","=""""","=""""",,"=""1.890605""","=""4.204152""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""5/2""","=""4f7.(8S*).6s.7p.(3P*)?""","=""10P?""","=""7/2""",6,8,,"=""""","=""L7586,L3475""",
"=""535.910""","=""535.909+""","=""540*""","=""2.33e+07""","=""1.17e-01""","=""2.48e+01""","=""0.148""",B+,"=""1.668481""","=""3.982013""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""13/2""",12,14,,"=""T7356""","=""L7586,L3475""",
"=""536.232""","=""536.236+""","=""60*""","=""""","=""""","=""""","=""""",,"=""2.443995""","=""4.756117""","=""4f7.(8S*).5d (7D*).6s""","=""b 8D*""","=""7/2""","=""""","=""151""","=""9/2""",8,10,,"=""""","=""L7586,L3475""",
"=""536.232""","=""536.227+""","=""60*""","=""2.02e+07""","=""1.31e-01""","=""9.2e+00""","=""-0.28""",C+,"=""1.876838""","=""4.188998""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""3/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""5/2""",4,6,,"=""T7356""","=""L7586,L3475""",
"=""536.310""","=""536.307+""","=""120""","=""2.97e+07""","=""1.07e-01""","=""2.26e+01""","=""0.107""",B+,"=""1.993636""","=""4.305452""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
"=""537.8434""","=""537.843+""","=""110""","=""""","=""""","=""""","=""""",,"=""2.059599""","=""4.364812""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""","=""""","=""8D*?""","=""11/2""",10,12,,"=""""","=""L7586,L3475""",
"=""539.444""","=""539.439+""","=""120""","=""2.21e+07""","=""9.6e-02""","=""1.03e+01""","=""-0.24""",C+,"=""1.890605""","=""4.188998""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""5/2""",6,6,,"=""T7356""","=""L7586,L3475""",
"=""540.427""","=""540.427+""","=""450""","=""3.12e+07""","=""1.64e-01""","=""2.92e+01""","=""0.215""",B+,"=""1.639324""","=""3.933514""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
"=""540.683""","=""540.682+""","=""45""","=""""","=""""","=""""","=""""",,"=""2.059599""","=""4.352706""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""","=""""","=""8D*?""","=""9/2""",10,10,,"=""""","=""L7586,L3475""",
"=""541.3368""","=""541.336+""","=""45""","=""""","=""""","=""""","=""""",,"=""2.149967""","=""4.440304""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""7/2""","=""""","=""8D*?""","=""9/2""",8,10,,"=""""","=""L7586,L3475""",
"=""542.2581""","=""542.257+""","=""55*""","=""""","=""""","=""""","=""""",,"=""2.059599""","=""4.346047""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""","=""4f7.(8S*).5d2?""","=""8P*?""","=""7/2""",10,8,,"=""""","=""L7586,L3475""",
"=""542.2581""","=""542.258+""","=""55*""","=""""","=""""","=""""","=""""",,"=""2.433966""","=""4.720409""","=""4f7.(8S*).5d (7D*).6s""","=""b 8D*""","=""9/2""","=""""","=""146""","=""7/2""",10,8,,"=""""","=""L7586,L3475""",
"=""542.8452""","=""542.844+""","=""90""","=""2.26e+07""","=""8.0e-02""","=""1.43e+01""","=""-0.098""",B+,"=""1.944107""","=""4.228082""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
"=""544.5077""","=""544.508+""","=""40*""","=""""","=""""","=""""","=""""",,"=""2.195440""","=""4.472435""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""5/2""","=""4f7.(8S*).6s (7S*).6d""","=""g 8D*""","=""5/2""",6,6,,"=""""","=""L7586,L3475""",
"=""544.5077""","=""544.505+""","=""40*""","=""""","=""""","=""""","=""""",,"=""1.911991""","=""4.188998""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""x 8P""","=""5/2""",8,6,,"=""""","=""L7586,L3475""",
"=""545.303""","=""545.303+""","=""380""","=""3.33e+07""","=""1.48e-01""","=""3.73e+01""","=""0.318""",B+,"=""1.708339""","=""3.982013""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""13/2""",14,14,,"=""T7356""","=""L7586,L3475""",
"=""545.446""","=""545.443+""","=""260""","=""3.10e+07""","=""1.73e-01""","=""2.48e+01""","=""0.141""",B+,"=""1.617857""","=""3.890948""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
"=""545.914""","=""545.912+""","=""40""","=""""","=""""","=""""","=""""",,"=""2.389577""","=""4.660716""","=""4f7.(8S*).5d (7D*).6s""","=""a 6D*""","=""9/2""","=""""","=""141""","=""9/2""",10,10,,"=""""","=""L7586,L3475""",
"=""547.3845""","=""547.384+""","=""90""","=""1.02e+07""","=""4.58e-02""","=""9.9e+00""","=""-0.260""",B+,"=""1.668481""","=""3.933514""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
"=""549.0178""","=""549.016+""","=""120""","=""1.78e+07""","=""1.07e-01""","=""1.16e+01""","=""-0.19""",B+,"=""1.602337""","=""3.860634""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
"=""549.6727""","=""549.672+""","=""45""","=""6.7e+06""","=""4.0e-02""","=""4.4e+00""","=""-0.62""",C+,"=""1.602337""","=""3.857939""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
"=""550.236""","=""550.233+""","=""15""","=""""","=""""","=""""","=""""",,"=""1.977834""","=""4.231137""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""7/2""","=""""","=""3*""","=""7/2 or 9/2""",8,8,,"=""""","=""L7586,L3475""",
"=""551.205""","=""551.207+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.744192""","=""3.993516""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""7/2""","=""4f7.(8S*).5d2.(3P)""","=""e 10P*""","=""9/2""",8,10,,"=""""","=""L7586,L3475""",
"=""552.8162""","=""552.816+""","=""30""","=""3.77e+06""","=""1.73e-02""","=""2.51e+00""","=""-0.86""",B+,"=""1.617857""","=""3.860634""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
"=""553.479""","=""553.481+""","=""30""","=""2.7e+06""","=""1.25e-02""","=""1.8e+00""","=""-1.00""",C+,"=""1.617857""","=""3.857939""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
"=""554.408""","=""554.407+""","=""30""","=""""","=""""","=""""","=""""",,"=""2.149967""","=""4.386306""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""7/2""","=""""","=""8D*?""","=""7/2""",8,8,,"=""""","=""L7586,L3475""",
