obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""353.382""","=""353.3820+""","=""240""","=""""","=""""","=""""","=""""",,"=""1.822607""","=""5.331111""","=""4d7.(a 2G).5s""","=""a 1G""","=""4""","=""4d7.(a 2D).5p""","=""y 1F*""","=""3""",9,7,,"=""""","=""L3475""",
"=""353.896""","=""353.8957+""","=""390""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""3.762728""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""4""",7,9,,"=""""","=""L3475""",
"=""354.038""","=""354.0379+""","=""790""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.838402""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 5G*""","=""2""",5,5,,"=""""","=""L3475""",
"=""354.264""","=""354.2642+""","=""200""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""4.311247""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""5""",9,11,,"=""""","=""L3475""",
"=""357.161""","=""357.1619+""","=""690""","=""""","=""""","=""""","=""""",,"=""1.927974""","=""5.399347""","=""4d7.(a 2H).5s""","=""a 3H""","=""6""","=""4d7.(a 2H).5p""","=""y 3H*""","=""6""",13,13,,"=""""","=""L3475""",
"=""357.560""","=""357.5617+""","=""200""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""4.530707""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4P).5p""","=""x 5D*""","=""4""",7,9,,"=""""","=""L3475""",
"=""358.822""","=""358.8180+""","=""390""","=""""","=""""","=""""","=""""",,"=""2.013520""","=""5.468870""","=""4d7.(a 2H).5s""","=""a 3H""","=""5""","=""4d7.(a 2H).5p""","=""y 3H*""","=""5""",11,11,,"=""""","=""L3475""",
"=""359.024""","=""359.0238+""","=""6400""","=""9.11e+07""","=""2.93e-01""","=""1.04e+01""","=""-0.055""",,"=""0.385032""","=""3.838402""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5G*""","=""2""",3,5,,"=""T6131""","=""L3475""",
"=""359.405""","=""359.4043+""","=""6900""","=""8.17e+07""","=""2.22e-01""","=""1.31e+01""","=""0.044""",,"=""0.336399""","=""3.786113""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 5G*""","=""3""",5,7,,"=""T6131""","=""L3475""",
"=""359.721""","=""359.7204+""","=""6400""","=""4.20e+07""","=""1.05e-01""","=""8.68e+00""","=""-0.135""",,"=""0.259318""","=""3.706001""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""4""",7,9,,"=""T6131""","=""L3475""",
"=""360.079""","=""360.0789+""","=""1300""","=""""","=""""","=""""","=""""",,"=""1.087457""","=""4.530707""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4P).5p""","=""x 5D*""","=""4""",7,9,,"=""""","=""L3475""",
"=""362.623""","=""362.6227+""","=""350""","=""""","=""""","=""""","=""""",,"=""1.317150""","=""4.736246""","=""4d7.(a 2P).5s""","=""a 3P""","=""2""","=""4d7.(a 4P).5p""","=""x 5D*""","=""1""",5,3,,"=""""","=""L3475""",
"=""362.777""","=""362.7770+""","=""370""","=""""","=""""","=""""","=""""",,"=""2.119742""","=""5.537384""","=""4d7.(a 2H).5s""","=""a 3H""","=""4""","=""4d7.(a 2H).5p""","=""y 3H*""","=""4""",9,9,,"=""""","=""L3475""",
"=""363.597""","=""363.5964+""","=""3100""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""3.669258""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""4""",7,9,,"=""""","=""L3475""",
"=""363.851""","=""363.8498+""","=""210""","=""""","=""""","=""""","=""""",,"=""1.698468""","=""5.106034""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2D).5p""","=""x 3F*""","=""2""",7,5,,"=""""","=""L3475""",
"=""364.168""","=""364.1671+""","=""200""","=""""","=""""","=""""","=""""",,"=""1.589067""","=""4.993663""","=""4d7.(a 2G).5s""","=""a 3G""","=""4""","=""4d7.(a 2G).5p""","=""y 3G*""","=""4""",9,9,,"=""""","=""L3475""",
"=""365.136""","=""365.1363+""","=""290""","=""""","=""""","=""""","=""""",,"=""1.002303""","=""4.397862""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""4""",7,9,,"=""""","=""L3475""",
